hand,Combos,Percentage,EP,MP,CO,BU,Sklanski-Karlson
Q2s,4,0.30%,0.00,0.00,0.00,1.00,44.8
Q6,12,0.90%,0.00,0.00,0.00,1.00,45.7
98s,4,0.30%,0.00,0.00,0.00,1.00,46
Q5,12,0.90%,0.00,0.00,0.00,0.00,46.9
J8,12,0.90%,0.00,0.00,0.00,1.00,47.8
T9,12,0.90%,0.00,0.00,0.00,1.00,48.7
J6s,4,0.30%,0.00,0.00,0.00,1.00,49
T7s,4,0.30%,0.00,0.00,0.00,1.00,49.3
J5s,4,0.30%,0.00,0.00,0.00,1.00,49.6
Q4,12,0.90%,0.00,0.00,0.00,0.00,50.5
J4s,4,0.30%,0.00,0.00,0.00,1.00,50.8
J7,12,0.90%,0.00,0.00,0.00,1.00,51.7
Q3,12,0.90%,0.00,0.00,0.00,0.00,52.6
97s,4,0.30%,0.00,0.00,0.00,1.00,52.9
T8,12,0.90%,0.00,0.00,0.00,1.00,53.8
J3s,4,0.30%,0.00,0.00,0.00,1.00,54.1
T6s,4,0.30%,0.00,0.00,0.00,1.00,54.4
Q2,12,0.90%,0.00,0.00,0.00,0.00,55.4
J2s,4,0.30%,0.00,0.00,0.00,1.00,55.7
87s,4,0.30%,0.00,0.00,0.00,1.00,56
J6,12,0.90%,0.00,0.00,0.00,0.00,56.9
98,12,0.90%,0.00,0.00,0.00,1.00,57.8
T7,12,0.90%,0.00,0.00,0.00,1.00,58.7
96s,4,0.30%,0.00,0.00,0.00,1.00,59
J5,12,0.90%,0.00,0.00,0.00,0.00,59.9
T5s,4,0.30%,0.00,0.00,0.00,1.00,60.2
T4s,4,0.30%,0.00,0.00,0.00,1.00,60.5
86s,4,0.30%,0.00,0.00,0.00,1.00,60.8
J4,12,0.90%,0.00,0.00,0.00,0.00,61.7
T6,12,0.90%,0.00,0.00,0.00,0.00,62.6
97,12,0.90%,0.00,0.00,0.00,1.00,63.5
T3s,4,0.30%,0.00,0.00,0.00,0.00,63.8
76s,4,0.30%,0.00,0.00,0.00,1.00,64.1
95s,4,0.30%,0.00,0.00,0.00,0.00,64.4
J3,12,0.90%,0.00,0.00,0.00,0.00,65.3
T2s,4,0.30%,0.00,0.00,0.00,0.00,65.6
87,12,0.90%,0.00,0.00,0.00,1.00,66.5
85s,4,0.30%,0.00,0.00,0.00,0.00,66.8
96,12,0.90%,0.00,0.00,0.00,0.00,67.7
T5,12,0.90%,0.00,0.00,0.00,0.00,68.6
J2,12,0.90%,0.00,0.00,0.00,0.00,69.5
75s,4,0.30%,0.00,0.00,0.00,1.00,69.8
94s,4,0.30%,0.00,0.00,0.00,0.00,70.1
T4,12,0.90%,0.00,0.00,0.00,0.00,71
65s,4,0.30%,0.00,0.00,0.00,1.00,71.3
86,12,0.90%,0.00,0.00,0.00,0.00,72.2
93s,4,0.30%,0.00,0.00,0.00,0.00,72.5
84s,4,0.30%,0.00,0.00,0.00,0.00,72.9
95,12,0.90%,0.00,0.00,0.00,0.00,73.8
T3,12,0.90%,0.00,0.00,0.00,0.00,74.7
76,12,0.90%,0.00,0.00,0.00,1.00,75.6
92s,4,0.30%,0.00,0.00,0.00,0.00,75.9
74s,4,0.30%,0.00,0.00,0.00,0.00,76.2
54s,4,0.30%,0.00,0.00,0.00,0.00,76.5
T2,12,0.90%,0.00,0.00,0.00,0.00,77.4
85,12,0.90%,0.00,0.00,0.00,0.00,78.3
64s,4,0.30%,0.00,0.00,0.00,0.00,78.6
83s,4,0.30%,0.00,0.00,0.00,0.00,78.9
94,12,0.90%,0.00,0.00,0.00,0.00,79.8
75,12,0.90%,0.00,0.00,0.00,0.00,80.7
82s,4,0.30%,0.00,0.00,0.00,0.00,81
73s,4,0.30%,0.00,0.00,0.00,0.00,81.3
93,12,0.90%,0.00,0.00,0.00,0.00,82.2
65,12,0.90%,0.00,0.00,0.00,0.00,83.1
53s,4,0.30%,0.00,0.00,0.00,0.00,83.4
63s,4,0.30%,0.00,0.00,0.00,0.00,83.7
84,12,0.90%,0.00,0.00,0.00,0.00,84.6
92,12,0.90%,0.00,0.00,0.00,0.00,85.5
43s,4,0.30%,0.00,0.00,0.00,0.00,85.8
74,12,0.90%,0.00,0.00,0.00,0.00,86.7
72s,4,0.30%,0.00,0.00,0.00,0.00,87
54,12,0.90%,0.00,0.00,0.00,0.00,87.9
64,12,0.90%,0.00,0.00,0.00,0.00,88.8
52s,4,0.30%,0.00,0.00,0.00,0.00,89.1
62s,4,0.30%,0.00,0.00,0.00,0.00,89.4
83,12,0.90%,0.00,0.00,0.00,0.00,90.3
42s,4,0.30%,0.00,0.00,0.00,0.00,90.6
82,12,0.90%,0.00,0.00,0.00,0.00,91.6
73,12,0.90%,0.00,0.00,0.00,0.00,92.5
53,12,0.90%,0.00,0.00,0.00,0.00,93.4
63,12,0.90%,0.00,0.00,0.00,0.00,94.3
32s,4,0.30%,0.00,0.00,0.00,0.00,94.6
43,12,0.90%,0.00,0.00,0.00,0.00,95.5
72,12,0.90%,0.00,0.00,0.00,0.00,96.4
52,12,0.90%,0.00,0.00,0.00,0.00,97.3
62,12,0.90%,0.00,0.00,0.00,0.00,98.2
42,12,0.90%,0.00,0.00,0.00,0.00,99.1
32,12,0.90%,0.00,0.00,0.00,0.00,100
